Paper Title,Format,Year,Author 1,Role 1,Author Affiliation 1,Author 2,Role 2,Author Affiliation 2,Author 3,Role 3,Author Affiliation 3,Author 4,Role 4,Author Affiliation 4,Author 5,Role5,Author Affiliation 5,Country of Origin,Conference or Journal,Location of Conference,Method 1,Method 2,Method 3,Source,abstract,Class1,Class2,Class3,,,,,,,,,,,,,,,,,,,,,,
Thinking and informing: A reality check on class teacheres and teacher librarians,C,2001,Henri,Professor,Charles Sturt University,,,,,,,,,,,,,Australia,International Association of School Librarianship,New Zealand,Questionnaire,Diaries,Mixed,http://search.proquest.com/docview/236050312?pq-origsite=gscholar,The literature suggests that twenty first century schools must pay as much attention to how students learn as they do to what students learn. Part of the `how students learn' encompasses attempts to address student mastery of the processes of becoming informed. At one time it was considered the role of the teacher librarian to teach students information skills or an information process. At one time it was assumed that class teachers could teach these skills and this process. In more recent times it has been suggested that teacher librarians and class teachers must form partnerships to enable the building of a school culture that facilitates an emphasis on ways of learning rather than on what is learned.,Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
Canadian first nations women preservice teachers' experiences and perceptions regarding technology,C,2001,Luther,Professor,University of Colorado at Denver,,,,,,,,,,,,,USA,International Association of School Librarianship,New Zealand,Interviews,,Qualitative,http://search.proquest.com/docview/236039954?pq-origsite=gscholar,The primary purpose of this research was to collect data for Canadian First Nations educators and policy makers to use in making decisions surrounding issues of First Nations women and technology education. Nine First Nations women preservice teachers at the intern stage of their Indian Teacher Education Program at the University of Saskatchewan were engaged in indepth interviews concerning their experiences and perceptions regarding technology,Information Technology,,,,,,,,,,,,,,,,,,,,,,,,
Perceptions of reading of children with comprehension difficulties,C,2001,Maniotes,Professor,"University of Colorado, Boulder",,,,,,,,,,,,,USA,International Association of School Librarianship,New Zealand,Interviews,,Qualitative,http://search.proquest.com/docview/236050405?pq-origsite=gscholar,This study addresses the question of how students with comprehension problems perceive reading. The subjects of the study are eight to ten-year-old students from the South Eastern United States. Students' reading comprehension was assessed and interviews were used to elicit perceptions of reading. The results suggest that these students see reading as a school-related task rather than something for enjoyment or entertainment. The report includes three case studies elaborating on the diversity and depth of individual children. A final discussion considers what school librarians can do to help children become aware of purposes for reading as making meaning.,Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
Transforming instructional pracice: two case studies of inquiry-based learning,C,2001,Oberg,Professor,University of Alberta,,,,,,,,,,,,,Canada,International Association of School Librarianship,New Zealand,Case Studies,,Qualitative,http://search.proquest.com/docview/236103950?pq-origsite=gscholar,"A comparison of case studies of two elementary schools in the United States, in two different Library Power project sites, reveals that the implementation of a new instructional approach such as inquiry-based learning is a complex and multifaceted endeavour. Provision of enhanced collections, improved facilities, full time librarians, flexible scheduling, and professional support was not sufficient for the transformation of instructional practice. Although the two schools appeared to have benefited from similar improvements in resources, only one of the schools demonstrated the transformation in instructional practice that is essential to improved student learning. The roots of this difference appeared to lie in the beliefs held by educators in the two schools about the nature of children, the nature of learning, and the nature of teaching.",The Profession,,,,,,,,,,,,,,,,,,,,,,,,
Information literacy in New Zealand secondary and primary schools,C,2001,Slyfield,Librarian,National Library of New Zealand,,,,,,,,,,,,,New Zealand,International Association of School Librarianship,New Zealand,Surveys,,Quantitative,http://search.proquest.com/docview/236104110?pq-origsite=gscholar,New Zealand schools were surveyed on current aspects of developing information literacy. The research also sought to identify schools' priorities to further develop these skills. Response rates were 63% (secondary schools) and 67% (primary schools),Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
Primary school reading materials and contexts of change: New Zealand's School Journal,C,2001,Van Rij,Professor,Wellington College of Education,,,,,,,,,,,,,New Zealand,International Association of School Librarianship,New Zealand,Textual Analysis,,Mixed,http://search.proquest.com/docview/236040071?pq-origsite=gscholar,"This paper considers primary school texts as resources for teaching reading and as children's literature, applying principles of close reading and New Historicism theory to explore the effects on texts of changing social, political, and pedagogical contexts in the twentieth century.",Publishing,,,,,,,,,,,,,,,,,,,,,,,,
Using outstanding translated children's books in the school setting to promote an understanding of other countries and cultures,C,2001,White,Professor,"University of Houston, Clearlake",Bluemel,Lecturer,,,,,,,,,,,USA,International Association of School Librarianship,New Zealand,Data Analysis,,Mixed,http://eric.ed.gov/?id=ED454551,"The importance of translated children's books to the literary and cultural development of children is well documented, and the study of other countries is an important part of the school curriculum across grade levels. Therefore, purposes of the research were (1) to share results of research on outstanding translated children's books published from 1990-2000; (2) to provide a bibliography of these books that can be used by librarians, teachers, and students in a study of other countries; and (3) to present an application of a collaborative study on the use of translated books by a middle school librarian with teachers in a real-life setting. An appendix contains a 72-item recommended list of translated children's books. (Contains 11 references and 4 tables.) (Author/RS)",Publishing,,,,,,,,,,,,,,,,,,,,,,,,
Addressing plagiarism through improved notetaking,C,2001,Wilson,Professor,Presbyterian Ladies' College,,,,,,,,,,,,,Australia,International Association of School Librarianship,New Zealand,Data Analysis,,Mixed,http://search.proquest.com/docview/236091685?pq-origsite=gscholar,The expanding range of information sources available for student research activities has led to greater awareness of the occurrence of plagiarism in its various forms. The opportunity offered by electronic information sources (in particular the internet) for students to plagiarise and get away with it is of particular concern to teachers. Is the issue of plagiarism as clear cut as it seems and is the same approach adopted by universities to deal with plagiarism the approach that should be taken in secondary schools? Is plagiarism an ethical issue or a learning one?,Publishing,,,,,,,,,,,,,,,,,,,,,,,,
The relationship between listening comprehension and reading comprehension: implications for reading aloud and learning,C,2000,Howe,Librarian,Washington Park School,,,,,,,,,,,,,USA,International Association of School Librarianship,Sweden,Pre-test/Post-test Analysis,,Quantitatiave,http://search.proquest.com/docview/236091840?pq-origsite=gscholar,"This paper describes the listening and reading comprehension skills of elementary school students, presents a classroom action research project that concludes that listening skills may transfer to reading skills, and recommends indirect teaching methods to enhance listening comprehension and learning during story hour. The study was designed to test whether instruction in three listening comprehension skills improved reading comprehension using those same skills. The recommended generic lesson plan for story hour is based on theory and research in listening and reading comprehension as well as the suggestions of teachers and librarians. It can be used by teachers, public librarians, school librarians, and parents.",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
Competencies for teacher-librarians: the Malaysian perspective,C,2000,Abdullah,Professor,University of Malaysia,Singh,,,,,,,,,,,,Malaysia,International Association of School Librarianship,Sweden,Questionnaire,,Quantitatiave,http://search.proquest.com/docview/236091987?pq-origsite=gscholar,"Teacher-librarians need specific competencies, knowledge, and skills in order to perform their roles effectively. Very few guidelines and standards exist, however, in developing countries for these competencies. The primary goal of this study was to determine the competencies needed by teacher-librarians in Malaysian secondary schools to effectively perform their roles. The study employed a survey methodology using a population of professionals directly involved in the field of teacher-librarianship: teacher-librarians, library educators, and supervisors. The findings present a Malaysian perspective on the roles and competencies for teacher-librarians and will also be useful in working towards an international framework of competencies.",Education in LIS,,,,,,,,,,,,,,,,,,,,,,,,
A case study of partners in educational change: teacher-librarians and pre-service teachers,C,2000,Asselin,Professor,University of British Columbia,Naslund,Librarian,,,,,,,,,,,Canada,International Association of School Librarianship,Sweden,Pre-concept map,Interview,Mixed,http://search.proquest.com/docview/236050686?pq-origsite=gscholar,"This case study aimed to clarify the role of the teacher-librarian and the nature of the school library program to pre-service teachers. Nineteen pre-service teachers collaboratively planned curriculum with teacher-librarians in their practicum schools. Data consisted of pre- and post-experience concept maps and interviews with all participants. Results showed pre-service teachers (a) significantly increased their knowledge of collaboration, resource-based learning, and information literacy, and (b) learned that collaboration helps refine and extend their teaching ideas. Teacher-librarians identified flexible scheduling and collaborative culture as conditions for curriculum-based library programs. Authentic experiences with teacher-librarians appear to be a promising means of preparing new teachers as partners.",Education in LIS,,,,,,,,,,,,,,,,,,,,,,,,
Theory into practice: using the PLUS model to teach information skills and support the curriculum in a secondary school,C,2000,Herring,Professor,Queen Margaret University College,Tarter,Librarian,,Naylor,Teacher,,,,,,,,Scotland,International Association of School Librarianship,Sweden,Questionnaire,,Qualitative,http://search.proquest.com/docview/236049738?pq-origsite=gscholar,"This paper examines the use of PLUS, a four-step model of information skills, in a secondary school in England with 28 Year 8 pupils doing a physics project. The pupils completed a questionnaire relating to their use of the PLUS model and their attitudes to brainstorming, keyword selection, evaluating resources, reading for information, taking notes, and writing. The teacher and librarian were interviewed. Findings showed that pupils responded favourably to using the PLUS model in all areas and that the teacher and school librarian noted improvement in the pupils' learning, writing, and information skills as a result of using the model.",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
Blocking access to information and ideas: the use of internet filtering software and levels of satisfaction in North American schools,C,2000,Haycock,Director,University of British Columbia,,,,,,,,,,,,,Canada,International Association of School Librarianship,Sweden,Questionnaire,Mixed,,http://search.proquest.com/docview/236040601?pq-origsite=gscholar,"A primary purpose of the school library program is to enable young people to access and make effective use of information and ideas. This role has been enhanced through access to electronic resources. The Internet, however, is not a pre-selected menu of information sources deemed appropriate for children and young adults. Therefore, some libraries employ software to block or filter unfettered access to information. The purpose of this study was to measure the penetration of this filtering software in North America, to ascertain which types of software are used, and to determine librarians' levels of satisfaction.",Censorship,,,,,,,,,,,,,,,,,,,,,,,,
"Internet use in schools in Alberta, Canada: implications for school librarians",C,2000,Oberg,Professor,University of Alberta,Gibson,Professor,,,,,,,,,,,Canada,International Association of School Librarianship,Sweden,Survey,,Quantitative,http://search.proquest.com/docview/236092207?pq-origsite=gscholar,"The findings of this quantitative investigation of the use of the Internet in Alberta schools confirmed the findings of earlier studies. The survey asked teachers and principals about their preparation for using the technology and the provision of adequate hardware and software and opportunities for professional development. The majority of respondents felt positively about the Internet as a teaching and learning tool, and many were exploring its use through trial and error. The findings also suggest that there is need and opportunity for school librarians to take a stronger role in supporting Internet use in schools, and the authors offer useful strategies for this goal.",Information Technology,,,,,,,,,,,,,,,,,,,,,,,,
"Knowledge management: key to partnerships, learning outcomes and resourcing a learning community",C,2000,Todd,Professor,University of Technology Sydney,Southon,Professor,,,,,,,,,,,Austraila,International Association of School Librarianship,Sweden,Questionnaire,Focus groups,Mixed,http://search.proquest.com/docview/236049834?pq-origsite=gscholar,"This paper provides an understanding of the concept of knowledge management and its role in the creation of an integrated information environment for effective learning in schools. It presents findings from a research project being undertaken at the University of Technology, Sydney that seeks to identify from the perspective of librarians, including teacher-librarians, the significant dimensions of knowledge management, the key understandings and skills required for effective knowledge management, and the role of librarians engaging in knowledge management processes in libraries and information agencies. The implications for teacher-librarians are examined in this report.",Other Studies,,,,,,,,,,,,,,,,,,,,,,,,
Implementing flexible scheduling in elementary libraries,C,1999,McGregor,Professor,Texas Woman's University,,,,,,,,,,,,,USA,International Association of School Librarianship,USA,Interviews,,Qualitative,http://eric.ed.gov/?id=ED437053,"Flexible scheduling in school libraries can provide a mechanism for achieving the learning goals and objectives of both the school library program and the curriculum by making information available at the point of need and by promoting use of the library and its services at a relevant moment instead of on a predetermined schedule. This pilot study examined the successful implementation of flexible scheduling in six elementary schools where no funding was received to support implementation. Specifically, the study examined: why flexible scheduling was implemented in elementary schools where funding was not contingent on it; factors that influenced implementation; and stakeholders' basis for their claim of the success of implementation. Telephone interviews with librarians, principals, and teachers provided the data. The preliminary results indicate that, in those schools with successful implementations, flexible scheduling was only a tool to achieve another internal curricular objective, such as curriculum integration or literacy improvement. In addition, education of stakeholders is essential; it must emphasize strategies for effective use of the programs supported by flexible scheduling and their potential learning outcomes rather than simply provide information on how flexible scheduling works. (Author/MES)",Programming,,,,,,,,,,,,,,,,,,,,,,,,
Connecting marketing and implementation research and library program development: A case study of the implementation of National [U.S.] guidelines and standards,C,1999,Haycock,Professor,The University of British Columbia,Cavill,President,,,,,,,,,,,Canada,International Association of School Librarianship,USA,Interviews,,Qualitative,http://search.proquest.com/docview/236092510?pq-origsite=gscholar,"The American Association of School Librarians developed a detailed plan, with more than 30 specific objectives and more than 75 target audiences, for the implementation of Information Power, the 1998 national guidelines for effective programs. Clear delineation of responsibilities at the national, state, district and school levels was a key part of the plan. Marketing research allowed the Association to increase sources of information for planning and to report that information more clearly and consistently, to reduce error and to manage the Association's marketing program more aggressively. Research from the implementation of change and effective staff development was incorporated in the training for state coordinators. Implementation is now underway with documented achievement of the early objectives.",Education in LIS,,,,,,,,,,,,,,,,,,,,,,,,
The United States national library power school program research evaluation and implications for professional development and library education,C,1999,Hopkins,Professor,University of Wisconsin,Zweizig,Professor,,,,,,,,,,,USA,International Association of School Librarianship,USA,Observation,Surveys,Mixed,http://eric.ed.gov/?id=ED437055,"The Library Power program is a school improvement initiative of the DeWitt-Wallace Reader's Digest Fund that began in 1988, designed to promote the full integration of the school library media program into the school curriculum in public elementary and junior high/middle schools. With a total investment exceeding $45 million, Library Power is the largest nongovernmental funding for school library media programs in over 30 years. It operated in approximately 700 schools and served more than one million students. Library Power sought to create a national vision of public elementary and middle school library media programs through the instructional leadership of the library media specialist and through partnerships within the district and with the community. This study summarizes selected findings of a national evaluation of Library Power and discusses implications for preservice and continuing education of teachers, principals, and library media specialists, as well as the likelihood of institutionalization of Library Power practices. The evaluation found that the Library Power initiative advanced the notion of a student-centered library media program in a learning community. It showed that, given the right conditions, school library media programs can promote positive opportunities for excellence in teaching and learning. (Author/MES)",Education in LIS,,,,,,,,,,,,,,,,,,,,,,,,
Authentic learning and the research processes of gifted students,C,1999,Bishop,Professor,University of South Florida,,,,,,,,,,,,,USA,International Association of School Librarianship,USA,Observation,Interviews,Qualitative,http://eric.ed.gov/?id=ED437056,"This study utilized qualitative research methods (observations, interviews, and analysis of written documents) to investigate the research processes of ten gifted ninth grade students who participated in independent research projects. Research stages dealing with exploring and forming a focus presented the most difficulty for the students. The three students who were able to establish a clear focus were the only ones who demonstrated all aspects of authentic learning. An additional research question dealt with the types of resources used by the students. Books and videocassettes were the primary sources used by students. All students were highly dependent on the teacher as a source of information. The absence of collaboration between the teacher, the school librarian, and public librarian is noted. Examination of cooperative learning, intervention, required assignment deadlines, and the format of products as each of these relates to independent research projects is recommended. (Contains 17 references.) (Author/MES)",Information Seeking,,,,,,,,,,,,,,,,,,,,,,,,
Treasure hunt or torture: student's perspective on research projects,C,1999,Streitenberger,Teacher Librarian,Tahoma School District,,,,,,,,,,,,,USA,International Association of School Librarianship,USA,Interviews,Data Analysis,Qualitative,http://eric.ed.gov/?id=ED437057,"Two naturalistic research studies observed 45 eleventh grade students carrying out research paper assignments, and a third such study focused on 26 third grade students. The studies took place in Alberta (Canada) in 1993, Texas in 1996, and Washington state in 1999. From data analyzed in the interviews and written documents, the initial findings indicated that third grade and eleventh grade students feel and think about research writing activities similarly. The younger students seemed more process oriented than the older ones. The third grade students commented on enjoying reading the information on their topic and telling the facts they had learned. The older students used methods of citation and more sophisticated paraphrasing techniques. The younger students did not use any citations. The amount of blatant copying for the Texas study and the Washington study were comparable. The mental models of both age groups were surprisingly similar. (Contains 15 references.) (Author/MES)",Information Seeking,,,,,,,,,,,,,,,,,,,,,,,,
Meeting diverse information needs: students with disabilities,C,1999,Murray,Doctoral Student,Monash University,,,,,,,,,,,,,Australia,International Association of School Librarianship,USA,Survey,Interviews,Mixed,http://eric.ed.gov/?id=ED437058,"This paper presents the results of a four-year study conducted in primary and secondary schools from all sectors in two Australian states, Victoria and New South Wales. The study investigated the impact of inclusive schooling on the provision of library and information services to students with disabilities. Research questions were identified to direct data collection that would demonstrate the success or failure of school library managers to meet the requirements of federal disability legislation. The methodology used in the study incorporated both survey and case study. Empirical data collected by survey concentrated particularly on the current level of service provision to students with disabilities, while case study investigations also looked at management factors. The focus was on the relationship between the school library staff and the special education staff, and the effect this had on provision of school library services and the acquisition of information skills by students with disabilities. The discussion includes the level of service provision to students with disabilities, as well as the managerial approach of teacher-librarians and their awareness of appropriate resources, teaching approaches, and technology. (Contains 12 references.) (Author/MES)",Programming,,,,,,,,,,,,,,,,,,,,,,,,
The impact of whole language on four elementary school libraries: results from a comparative case study,C,1999,Hughes,Professor,Drexel University,,,,,,,,,,,,,USA,International Association of School Librarianship,USA,Observation,Interviews,Qualitative,http://eric.ed.gov/?id=ED437059,"This paper reports the findings of a comparative case study designed to describe how the implementation of whole language, an educational philosophy influencing many of today's elementary schools, evolved in four school libraries in Virginia. The study examined the impact of whole language in terms of its effect on the library program and the librarian. The study also sought to understand the change agent role each librarian played during implementation of the philosophy. Specifically, the following questions were addressed: (1) What changes occurred in the knowledge, perceptions, practices, and beliefs of the librarians? (2) What changes did the librarians make in the library programs as a result of whole language? (3) What roles did the school librarians play during the implementation of whole language? and (4) How did the librarians feel about the whole language philosophy and its impact on the library program? Data collection techniques included participant observation; interviews with librarians, principals, and teachers; and examination of relevant documents. Findings indicated that the level of success each librarian experienced varied and was dependent on the culture of the school, principal support, the librarian's knowledge and interpersonal skills, the librarian's reaction to district level changes, and time. Recommendations are provided for practicing school librarians and library school educators. (Contains 31 references.) (Author/MES)",Programming,,,,,,,,,,,,,,,,,,,,,,,,
Images of poverty in contemporary realistic fiction for youth: preliminary results of a content analysis using a social psychological conceptual framework,C,1999,Fitzgibbons,Professor,Indiana University,Tilley,Doctoral Student,,,,,,,,,,,USA,International Association of School Librarianship,USA,Content Analysis,,Mixed,http://eric.ed.gov/?id=ED437060,"This preliminary study of 20 contemporary realistic fiction books for youth, in middle school and above, analyzed images of poverty using a framework adapted from the work of Robert Leahy. Findings are related to demographics, images of poverty and emerging themes. Results indicate that, as a whole, the sample of books rely on concrete images of poverty yet do not adequately represent current demographics for people living in poverty in the United States. Suggestions are made for teachers, school librarians and media specialists to use these books with students. Appendices include coding categories adapted from Leahy, a list of selection sources for children's and young adult literature and a list of the fiction titles studied. (Contains 22 references.) (Author/MES)",Other Studies,,,,,,,,,,,,,,,,,,,,,,,,
Young people's reading and information use at the end of the century,C,1999,Olen,Lecturer,University of South Africa,Machet,Lecturer,,,,,,,,,,,South Africa,International Association of School Librarianship,USA,Survey,,Mixed,http://eric.ed.gov/?id=ED437061,"This paper focuses on a 1997 pilot project carried out in five secondary schools in South Africa that examined children's reading and information use. This study (n=958) was part of a larger study from 1995 and 1996 carried out in the United Kingdom. The primary goal was to examine what young people are reading at the end of the 20th century. The project goals were to understand the relationship between reading and attitudes to a range of topical social issues; to examine the ways in which children and young adults encounter and choose what to read; to provide information about the reading habits and information use of children and young adults of different age, sex, class, ethnic background, geographical location, and educational sector; and to discern between conventional forms of reading (printed matter) and new developments in the presentation of and interactions with text (including audio tapes, video games, CD-ROMs). The findings are grouped in the following areas: how young people choose books and comics; think about fiction, out of school (and after-school) activities and reading for information. The intent of the study is to provide academic librarians, publishers, authors illustrators and parents insights into what children and young adults like to read. (MES/EPC)",Reading & Reading Promotion,,,,,,,,,,,,,,,,,,,,,,,,
Unleashing the theory: connecting learning theory to building information seeking skills,C,1999,Danley,Librarian,Arkansas State Library,Forde,Librarian,,Lahmon,,,,,,,,,USA,International Association of School Librarianship,USA,Survey,,Mixed,http://eric.ed.gov/?id=ED437062,"This study surveyed 126 school librarians in 18 countries, representing 131 schools serving more than 113,260 students. The survey instrument requested respondents to describe techniques they used to facilitate information literacy, their perceptions of their functions in the development of independent learners, and the training they received that enabled them to mediate information seeking and use skills. Survey data revealed that the respondents relate information skills instruction to students' interests, work with other teachers to place information seeking skills within the context of students' course work, and encourage students to share ideas and skills with each other as they build their own search strategies. Results indicate that the creation of independent, self-directed, lifelong learners is the goal of school librarians over the world. Data also reveal that most of the respondents spend less than one quarter of their time working with teachers to plan connected programs and that many school libraries are understaffed. (Author)",Information Seeking,,,,,,,,,,,,,,,,,,,,,,,,
Revealing thinking: teachers working together on information literacy,C,1999,Moore,Consultant,,,,,,,,,,,,,,New Zealand,International Association of School Librarianship,USA,Survey,Interviews,Mixed,http://eric.ed.gov/?id=ED437063,"This paper presents and discusses two research initiatives in New Zealand elementary schools in terms of factors influencing the path of professional development and sustained attention to information literacy. The first study was a comparison of professional development processes and children's learning outcomes in four elementary schools. Surveys used to uncover perceptions of information literacy development were followed by on-site workshops for teachers of 7 to 11 year olds. This provided a snapshot of challenges that are a function of different school cultures and teachers with varying levels of information literacy understanding and commitment, as well as revealing much about children as information problem solvers. The second study involved all teaching staff at a single elementary school. Again, aspects of the teachers' information literacy were revealed alongside those of children. Observing the students' information problem solving experience was a key element in professional development. Reflection on teaching practice was heightened by use of action research as the teachers' major learning activity. Findings in the following areas are highlighted: (1) school information cultures--frameworks, policies, and library management; (2) teachers' understanding and expectations about information skills; (3) effects of expectations of children as information problem solvers; (4) connecting teachers' and children's thinking and expectations; (5) the teaching and learning interface; and (6) relationships among staff. (MES)",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
Univeristy/school library collaborations to integrate information technology into resource-based learning activities,C,1999,Doiron,Professor,University of Prince Edward Island,,,,,,,,,,,,,Canada,International Association of School Librarianship,USA,Observation,Interviews,Qualitative,http://eric.ed.gov/?id=ED437064,"If the goal of teacher-librarians is to work with teachers to develop information literacy, then how do we model this collaboration for pre-service teachers during their teacher education program? This question was explored in a research study involving university researchers from the University of Prince Edward Island (Canada), teachers, and teacher-librarians in six elementary schools across Prince Edward Island. Learning projects arose from collaborations among the pre-service teachers, classroom teachers, and teacher-librarians as they developed information technology (IT) projects that were integrated into the pre-service practicum. Data were collected on the learning strategies children used and on the collaborative relationship established between the pre-service teachers and the teacher-librarian. This study tracked how pre-service teachers reacted to working with teacher-librarians. Results indicated these projects created authentic environments where pre-service teachers learned the role of the teacher-librarian and how the curriculum development process associated with resource-based learning develops through school library programs. (Author/MES)",Information Technology,,,,,,,,,,,,,,,,,,,,,,,,
Assessing pre-service teachers' beliefs about the role of the library media specialist,C,1999,Wolcott,Professor,Utah State University,Lawless,Assistant Professor,,Hobbs,Associate Professor,,,,,,,,USA,International Association of School Librarianship,USA,Content Analysis,,Quantitatiave,http://eric.ed.gov/?id=ED437065,"The 1998 revision of the ""Information Power"" guidelines focuses on building partnerships for greater student learning. While not a radical departure from the previous edition, the recent document emphasizes both greater collaboration and leadership and increased involvement with the technologies of information and learning. This study examined whether teacher education programs are preparing tomorrow's teachers to expect and accept the redefined role of the school library media specialist. It involved the development and administration of a scale to assess pre-service teachers' beliefs about the role of the school library media specialist. The results of the pilot study reported here are preliminary but suggest that, while pre-service teachers distinguish three distinct sets of functions, they place more emphasis on those functions associated with information access and delivery than on those related to learning and teaching. Furthermore, pre-service teachers do not appear to understand the role areas of learning/teaching and program administration. (Author/MES)",The Profession,,,,,,,,,,,,,,,,,,,,,,,,
The role of the principal in an information literate school community: findings from an international research project,C,1999,Oberg,Professor,University of Alberta,Hay,Lecturer,,Henri,Lecturer,,,,,,,,Canada,International Association of School Librarianship,USA,Questionnaire,,Mixed,http://eric.ed.gov/?id=ED437066,"This paper reports the results of an international study of the principal's role in developing and supporting information literacy programs in Australia, Canada, Finland, France, Japan, Scotland, and South Korea. Principals and librarians in all countries except South Korea differed significantly on the amount of time they perceived the principal to spend on tasks related to the information literacy program. Principals and librarians in Australia, Finland, and Scotland agreed about the amount of time they thought the principal should spend on such tasks in the future. In Canada, Japan, and South Korea, however, there was a significant difference between the two groups. Overall mean scores on present and future perceptions suggest that, in five of the six countries, principals and librarians are well-aligned in their beliefs about the role of the principal; the exception was Scotland, where school librarians are not qualified teachers. These and other findings should be useful to principals and librarians in schools throughout the world, as they struggle in difficult times to provide quality schooling and information services and to contribute to the development of literate and independent library users. (Contains 18 references.) (Author/MES)",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
The changing powers of readers in a time of new technology,C,1999,Mackey,Professor,University of Alberta,,,,,,,,,,,,,Canada,International Association of School Librarianship,USA,Content Analysis,,Qualitative,http://eric.ed.gov/?id=ED437067,"This paper reports on part of a qualitative study that enlisted a small number of students in fifth and eighth grades (n=19), all with a background of domestic computer ownership and use, for intensive work with texts in different media (i.e., books, videos, and CD-ROMs). The following questions were examined: (1) What are the consequences of multimedia exposure and experience for readers' tacit understandings of how texts work? (2) What repertoires of strategies and behaviors help people to process story and information in different media? (3) How does experience in different media and platforms affect people's strategic approaches to texts in different formats? and (4) What individual quirks or patterns of response, if any, manifest themselves across media boundaries? Results demonstrate that those who have grown up with domestic access to video, computers, and the Internet are often relatively neutral when it comes to platform, preferring to judge texts by issues of personal salience and fluency of access. (MES)",Information Technology,,,,,,,,,,,,,,,,,,,,,,,,
Students and the world wide web: issues of confidence and competence,C,1999,Watson,Professor,University of Tenessee,,,,,,,,,,,,,USA,International Association of School Librarianship,USA,Observation,,Qualitative,http://eric.ed.gov/?id=ED437068,"As students ponder their use of the new technologies in schools and at home, what issues are raised for librarians and teachers? Do teens exaggerate their confidence and competence as they report their perceptions of using technology? In this study, four 16 year olds discussed their personal experiences in using the Internet for work and for pleasure. The researcher asked the question: ""How do you use the new electronic technologies?"" Although the interviews followed an open-ended, conversational approach, the interviewer prompted subjects in similar ways by asking for examples. Subjects were also asked how they assessed sites and books as credible sources of information. Results indicate a pattern of developmentally specific activities for using the new technologies that differs from adult expectations. (Contains 16 references.) (MES)",Information Technology,,,,,,,,,,,,,,,,,,,,,,,,
Evaluating web sites: a critical information skill,C,1999,Small,Professor,Syracuse University,,,,,,,,,,,,,USA,International Association of School Librarianship,USA,Survey,,Qualitative,http://eric.ed.gov/?id=ED437069,"The evaluation of World Wide Web resources has become a critical information skill for students. Because of the uniqueness of these resources, new tools are required that assess not only the content validity and mechanical functionality of a Web site, but also its motivational quality. This paper describes the development and validation of a set of Web evaluation tools, the Website Motivational Analysis Checklist (WebMAC), designed for use by students in grades 1-12, that are based on motivation theory and provide multiple feedback mechanisms. Research questions included: What motivation theory or theories are most appropriate as a basis for the comprehensive evaluation of Web sites? and Do the WebMAC instruments adequately and validly test the motivational quality of Web sites? A survey of the motivational literature was conducted to investigate the first question. A comprehensive, well-researched theory that could be adapted to the assessment of electronic environments (particularly Web sites) was sought. Formative evaluation methods that included iterative testing of the instruments were implemented with graduate and undergraduate students, educators, and children, while factor analyses were conducted to confirm the theoretical basis of the instrument. These provided evidence for the second question. (Contains 10 references.) (MES)",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
Web-based instruction for school library media specialists: unleash the power of the world wide web,C,1999,Hindes,Professor,Georgia State University,Ann,,,,,,,,,,,,USA,International Association of School Librarianship,USA,Data Analysis,,Qualitative,http://eric.ed.gov/?id=ED437070,"A World Wide Web-based distance learning course at Georgia State University, developed with World Wide Web Courseware (WebCT), is the focus of this study. The course, ""Advanced Reference: Online Searching Techniques,"" concentrated on assisting students in developing skills for searching Internet resources, in particular the resources and databases of the Georgia Library Learning Online (GALILEO) initiative. The target audience for the course was school library media specialists enrolled in the Educational Specialist Degree Program with a concentration in library media technology. Research questions were: (1) Is Web-based course delivery an effective way to prepare school library media specialists in the instructional uses of Internet information resources? (2) Is Web-based instruction a successful medium for helping school library media specialists develop skills in searching and evaluating GALILEO databases? and (3) How do participants react to Web-based instruction? Sources of data were logs from the synchronous chat area, bulletin board postings, e-mail communications, course usage statistics, student projects, and structured interviews with the participating students. Results from the preliminary study indicate that participants' attitudes toward Web-based instruction are positive, and Web-based instruction provides a learning environment in which participants can develop electronic literacy skills and share their ideas and projects. (Contains 10 references.) (MES)",Information Skills & Literacy,,,,,,,,,,,,,,,,,,,,,,,,
